order_id,date,region,category,unit_price,quantity,discount,revenue
ORD-0001,2023-01-01 00:00:00.000000,West,Furniture,398.08,7,0.15,2368.58
ORD-0002,2023-01-01 08:44:41.081081,West,Sports,15.3,1,0.0,15.3
ORD-0003,2023-01-01 17:29:22.162162,West,Food & Beverage,13.18,8,0.1,94.9
ORD-0004,2023-01-02 02:14:03.243243,West,Sports,73.18,3,0.05,208.56
ORD-0005,2023-01-02 10:58:44.324324,West,Sports,223.05,6,0.0,1338.3
ORD-0006,2023-01-02 19:43:25.405405,North,Clothing,138.57,9,0.15,1060.06
ORD-0007,2023-01-03 04:28:06.486486,West,Food & Beverage,36.01,6,0.2,172.85
ORD-0008,2023-01-03 13:12:47.567567,North,Food & Beverage,6.22,9,0.0,55.98
ORD-0009,2023-01-03 21:57:28.648648,West,Food & Beverage,18.61,7,0.0,130.27
ORD-0010,2023-01-04 06:42:09.729729,East,Sports,16.7,9,0.0,150.3
ORD-0011,2023-01-04 15:26:50.810810,South,Furniture,162.44,2,0.05,308.64
ORD-0012,2023-01-05 00:11:31.891891,North,Food & Beverage,21.7,8,0.1,156.24
ORD-0013,2023-01-05 08:56:12.972972,West,Sports,15.75,8,0.0,126.0
ORD-0014,2023-01-05 17:40:54.054054,East,Clothing,47.78,2,0.0,95.56
ORD-0015,2023-01-06 02:25:35.135135,South,Furniture,403.94,4,0.0,1615.76
ORD-0016,2023-01-06 11:10:16.216216,North,Clothing,113.54,7,0.05,755.04
ORD-0017,2023-01-06 19:54:57.297297,South,Furniture,163.45,4,0.2,523.04
ORD-0018,2023-01-07 04:39:38.378378,East,Sports,180.07,4,0.2,576.22
ORD-0019,2023-01-07 13:24:19.459459,North,Electronics,1223.67,6,0.15,6240.72
ORD-0020,2023-01-07 22:09:00.540540,South,Furniture,43.64,6,0.0,261.84
ORD-0021,2023-01-08 06:53:41.621621,West,Clothing,163.11,3,0.05,464.86
ORD-0022,2023-01-08 15:38:22.702702,North,Sports,211.86,9,0.05,1811.4
ORD-0023,2023-01-09 00:23:03.783783,South,Furniture,230.54,2,0.0,461.08
ORD-0024,2023-01-09 09:07:44.864864,East,Electronics,275.45,6,0.2,1322.16
ORD-0025,2023-01-09 17:52:25.945945,East,Electronics,1437.96,7,0.2,8052.58
ORD-0026,2023-01-10 02:37:07.027027,North,Food & Beverage,15.45,9,0.2,111.24
ORD-0027,2023-01-10 11:21:48.108108,South,Food & Beverage,6.43,3,0.0,19.29
ORD-0028,2023-01-10 20:06:29.189189,North,Clothing,28.38,3,0.05,80.88
ORD-0029,2023-01-11 04:51:10.270270,North,Furniture,514.6,7,0.0,3602.2
ORD-0030,2023-01-11 13:35:51.351351,South,Furniture,378.09,4,0.0,1512.36
ORD-0031,2023-01-11 22:20:32.432432,South,Food & Beverage,32.86,8,0.2,210.3
ORD-0032,2023-01-12 07:05:13.513513,West,Furniture,448.65,7,0.15,2669.47
ORD-0033,2023-01-12 15:49:54.594594,South,Furniture,340.29,5,0.2,1361.16
ORD-0034,2023-01-13 00:34:35.675675,East,Electronics,1461.02,7,0.2,8181.71
ORD-0035,2023-01-13 09:19:16.756756,North,Food & Beverage,17.01,3,0.1,45.93
ORD-0036,2023-01-13 18:03:57.837837,North,Sports,169.2,2,0.0,338.4
ORD-0037,2023-01-14 02:48:38.918918,East,Food & Beverage,33.69,6,0.0,202.14
ORD-0038,2023-01-14 11:33:20.000000,South,Sports,188.61,2,0.1,339.5
ORD-0039,2023-01-14 20:18:01.081081,East,Electronics,1299.48,3,0.1,3508.6
ORD-0040,2023-01-15 05:02:42.162162,East,Clothing,119.7,6,0.15,610.47
ORD-0041,2023-01-15 13:47:23.243243,West,Furniture,434.56,5,0.05,2064.16
ORD-0042,2023-01-15 22:32:04.324324,East,Electronics,116.45,8,0.15,791.86
ORD-0043,2023-01-16 07:16:45.405405,North,Furniture,167.62,9,0.05,1433.15
ORD-0044,2023-01-16 16:01:26.486486,East,Clothing,64.98,3,0.05,185.19
ORD-0045,2023-01-17 00:46:07.567567,North,Clothing,25.16,3,0.0,75.48
ORD-0046,2023-01-17 09:30:48.648648,North,Electronics,387.55,3,0.2,930.12
ORD-0047,2023-01-17 18:15:29.729729,North,Clothing,29.19,6,0.0,175.14
ORD-0048,2023-01-18 03:00:10.810810,South,Sports,89.17,1,0.0,89.17
ORD-0049,2023-01-18 11:44:51.891891,West,Clothing,130.78,7,0.05,869.69
ORD-0050,2023-01-18 20:29:32.972972,North,Furniture,244.31,1,0.1,219.88
ORD-0051,2023-01-19 05:14:14.054054,North,Furniture,247.3,5,0.2,989.2
ORD-0052,2023-01-19 13:58:55.135135,South,Furniture,157.32,8,0.0,1258.56
ORD-0053,2023-01-19 22:43:36.216216,North,Furniture,189.51,4,0.0,758.04
ORD-0054,2023-01-20 07:28:17.297297,East,Sports,281.5,5,0.0,1407.5
ORD-0055,2023-01-20 16:12:58.378378,East,Food & Beverage,26.98,4,0.15,91.73
ORD-0056,2023-01-21 00:57:39.459459,West,Electronics,933.24,4,0.0,3732.96
ORD-0057,2023-01-21 09:42:20.540540,North,Furniture,135.84,8,0.0,1086.72
ORD-0058,2023-01-21 18:27:01.621621,South,Clothing,148.53,2,0.2,237.65
ORD-0059,2023-01-22 03:11:42.702702,East,Furniture,131.51,1,0.0,131.51
ORD-0060,2023-01-22 11:56:23.783783,South,Clothing,82.1,3,0.0,246.3
ORD-0061,2023-01-22 20:41:04.864864,South,Clothing,198.01,9,0.0,1782.09
ORD-0062,2023-01-23 05:25:45.945945,East,Furniture,398.4,4,0.15,1354.56
ORD-0063,2023-01-23 14:10:27.027027,South,Sports,170.63,5,0.15,725.18
ORD-0064,2023-01-23 22:55:08.108108,East,Clothing,140.08,2,0.15,238.14
ORD-0065,2023-01-24 07:39:49.189189,South,Clothing,170.14,4,0.05,646.53
ORD-0066,2023-01-24 16:24:30.270270,East,Furniture,474.56,2,0.1,854.21
ORD-0067,2023-01-25 01:09:11.351351,North,Clothing,53.52,2,0.15,90.98
ORD-0068,2023-01-25 09:53:52.432432,West,Clothing,16.1,4,0.0,64.4
ORD-0069,2023-01-25 18:38:33.513513,East,Furniture,216.65,6,0.0,1299.9
